Value,Proteome,Gold_Standard,Organismal,Functional,Functional_EC,Functional_Protein_Name,Functional_EC_Pathway
NCBITaxon:1000568,0,1,0,0,0,0,0
NCBITaxon:1000569,1,0,0,1,0,Probable butyrate:acetyl-CoA coenzyme A-transferase (Butyrate CoA-transferase) |Probable butyrate:acetyl-CoA coenzyme A-transferase (Butyrate CoA-transferase) ,0
NCBITaxon:1002367,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1002689,1,0,0,1,0,Probable butyrate kinase (BK) |Probable butyrate kinase (BK) ,0
NCBITaxon:1005740,1,0,0,1,0,Probable butyrate kinase (BK) |Probable butyrate kinase (BK) ,0
NCBITaxon:1006007,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1006155,1,0,0,1,0,Probable butyrate kinase (BK) |Probable butyrate kinase (BK) ,0
NCBITaxon:1006576,1,0,0,1,0,Probable butyrate kinase (BK) |Probable butyrate kinase (BK) ,0
NCBITaxon:1008305,1,0,0,1,0,Probable butyrate kinase (BK) |Probable butyrate kinase (BK) |Probable butyrate kinase (BK) |Probable butyrate kinase (BK) ,0
NCBITaxon:1009370,1,1,0,1,0,Probable butyrate kinase (BK) |Probable butyrate kinase (BK) ,0
NCBITaxon:1017270,1,0,0,1,1,Probable butyrate kinase (BK) ,butyrate_pathway_2
NCBITaxon:1017277,1,0,0,1,1,Probable butyrate kinase (BK) ,butyrate_pathway_2
NCBITaxon:1027249,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1030009,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1030092,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1030843,1,1,0,0,0,0,0
NCBITaxon:1032476,1,0,0,0,1,0,butyrate_pathway_1
NCBITaxon:1032505,1,0,0,0,1,0,butyrate_pathway_3
NCBITaxon:1032623,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1033731,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1033734,1,0,0,1,1,Probable butyrate kinase (BK) ,butyrate_pathway_2
NCBITaxon:1033810,1,1,0,1,1,Probable butyrate kinase (BK) ,butyrate_pathway_2
NCBITaxon:1034346,1,0,0,1,0,Probable butyrate kinase (BK) |Probable butyrate kinase (BK) |Probable butyrate kinase (BK) |Probable butyrate kinase (BK) |Probable butyrate kinase (BK) |Probable butyrate kinase (BK) |Probable butyrate kinase (BK) ,0
NCBITaxon:1035197,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1036020,1,0,0,0,1,0,butyrate_pathway_1
NCBITaxon:103725,1,0,0,0,1,0,butyrate_pathway_1|butyrate_pathway_3
NCBITaxon:1037362,1,0,0,0,1,0,butyrate_pathway_1
NCBITaxon:1037680,1,0,0,1,1,Probable butyrate kinase (BK) ,butyrate_pathway_2
NCBITaxon:1038856,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1042156,1,1,0,1,0,Probable butyrate kinase (BK) |Probable butyrate:acetyl-CoA coenzyme A-transferase (Butyrate CoA-transferase) |Probable butyrate kinase (BK) ,0
NCBITaxon:1042163,1,0,0,0,1,0,butyrate_pathway_1
NCBITaxon:1042417,1,0,0,1,0,Butyryl-CoA:acetate CoA-transferase (Butyryl-CoA CoA-transferase) ,0
NCBITaxon:1042984,1,0,0,0,1,0,butyrate_pathway_1
NCBITaxon:1045858,1,0,0,1,0,Butyryl-CoA:acetate CoA-transferase (Butyryl-CoA CoA-transferase) ,0
NCBITaxon:1048340,1,0,0,1,0,butyrate kinase ,0
NCBITaxon:1048380,1,0,0,1,1,Probable butyrate kinase (BK) |Probable butyrate kinase (BK) |Probable butyrate kinase (BK) ,butyrate_pathway_1|butyrate_pathway_2
NCBITaxon:1051531,1,0,0,0,1,0,butyrate_pathway_1|butyrate_pathway_3
NCBITaxon:1052585,1,0,0,1,1,Probable butyrate kinase (BK) ,butyrate_pathway_1|butyrate_pathway_2
NCBITaxon:1053189,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1053201,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1053205,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1053206,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1053211,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1053215,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1053216,1,0,0,1,0,Probable butyrate kinase (BK) ,0
NCBITaxon:1053219,1,0,0,1,0,Probable butyrate kinase (BK) ,0
