HMP_Name,NCBITaxon_Name,NCBITaxon_ID,NCBITaxon_Rank,Has_Organismal_Trait
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,Phocaeicola vulgatus,NCBITaxon:821,species,TRUE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__unclassified,unclassified Oscillospiraceae,NCBITaxon:473772,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Dialister,Dialister,NCBITaxon:39948,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,Ruminococcus,NCBITaxon:1263,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_gnavus,Mediterraneibacter gnavus,NCBITaxon:33038,species,TRUE
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,Haemophilus,NCBITaxon:724,genus,FALSE
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,Haemophilus parainfluenzae,NCBITaxon:729,species,TRUE
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,Pasteurellaceae,NCBITaxon:712,family,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,Coprococcus,NCBITaxon:33042,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae,Veillonellaceae,NCBITaxon:31977,family,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,Bacteroides,NCBITaxon:816,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__ClostridialesFamilyXIII.IncertaeSedis|g__unclassified,unclassified Clostridiales Family XVII. Incertae Sedis,NCBITaxon:3106655,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__ClostridialesFamilyXIII.IncertaeSedis,Eubacteriales Family XIII. Incertae Sedis,NCBITaxon:543314,family,FALSE
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister,Dialister,NCBITaxon:39948,genus,FALSE
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,Dialister invisus,NCBITaxon:218538,species,TRUE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,Streptococcus,NCBITaxon:1301,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_obeum,Blautia obeum,NCBITaxon:40520,species,TRUE
k__Bacteria|p__Firmicutes|c__Clostridia,Clostridia,NCBITaxon:186801,class,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,Eubacteriales,NCBITaxon:186802,order,FALSE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,Collinsella aerofaciens,NCBITaxon:74426,species,TRUE
k__Bacteria|p__Firmicutes,Terrabacteria group,not_found,phylum,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,Oscillospiraceae,NCBITaxon:216572,family,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter,Odoribacter,NCBITaxon:283168,genus,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,Alistipes,NCBITaxon:239759,genus,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__unclassified,unclassified Porphyromonadaceae,NCBITaxon:361210,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,Anaerobutyricum hallii,NCBITaxon:39488,species,TRUE
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,Veillonellaceae,NCBITaxon:31977,family,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_cf,Faecalibacterium cf,not_found,species,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__unclassified,unclassified Lachnospiraceae,NCBITaxon:186928,genus,FALSE
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,Selenomonadales,NCBITaxon:909929,order,FALSE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,Streptococcaceae,NCBITaxon:1300,family,FALSE
k__Bacteria|p__Tenericutes,Mycoplasmatota,NCBITaxon:544448,phylum,FALSE
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39|f__unclassified|g__unclassified,unclassified RF39,not_found,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae,Peptococcaceae,NCBITaxon:186807,family,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella,Veillonella,NCBITaxon:29465,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium,Clostridium,NCBITaxon:1485,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,Faecalibacterium,NCBITaxon:216851,genus,FALSE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,Lactobacillales,NCBITaxon:186826,order,FALSE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,Collinsella,NCBITaxon:102106,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__unclassified,unclassified Peptococcaceae,NCBITaxon:208050,genus,FALSE
k__Bacteria|p__Firmicutes|c__Bacilli,Bacilli,NCBITaxon:91061,class,FALSE
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,Enterobacteriaceae,NCBITaxon:543,family,FALSE
k__Bacteria,Bacteria,NCBITaxon:2,kingdom,FALSE
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,Oxalobacteraceae,NCBITaxon:75682,family,FALSE
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes,Oxalobacter formigenes,NCBITaxon:847,species,TRUE
k__Bacteria|p__Bacteroidetes,Bacteroidia,NCBITaxon:200643,phylum,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,Bacteroidales,NCBITaxon:171549,order,FALSE
k__Bacteria|p__Tenericutes|c__Mollicutes,Mollicutes,NCBITaxon:31969,class,FALSE
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,Coriobacteriales,NCBITaxon:84999,order,FALSE
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__unclassified,unclassified Alcaligenaceae,NCBITaxon:83496,genus,FALSE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,Alistipes shahii,NCBITaxon:328814,species,TRUE
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis,Streptococcus mitis,NCBITaxon:28037,species,TRUE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__unclassified,unclassified Christensenellaceae,NCBITaxon:1917874,genus,FALSE
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,NCBITaxon:853,species,TRUE
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,Deltaproteobacteria,NCBITaxon:28221,class,FALSE
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,Desulfovibrionaceae,NCBITaxon:194924,family,FALSE
