subject	object
NCBITaxon:1017280	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1060	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:106588	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:109326	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1099853	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1150298	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:116085	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1164882	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:117187	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1185408	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:119852	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1224	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1236	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1239	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1262	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1264	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1265	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1266	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1280	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:12916	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1309	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:131079	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1311	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1338	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1357	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:135858	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:13687	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:139379	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1398	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1402	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1409	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:142586	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1492	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1493	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:150022	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1502	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1505657	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1506577	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1508657	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1532	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1537	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:154046	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:154288	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1544	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1547	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1573535	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1573536	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1613	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:162289	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1637	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1647988	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:165440	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:165697	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:165808	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:166486	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1680	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1686	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:171550	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:172900	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1735	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1737406	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1747	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1763	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:180162	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:181675	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1849603	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1851509	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:1853231	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:186804	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:186826	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:1869337	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:203691	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:204516	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:2049	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:208479	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:2152	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:2172	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:2173	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:218	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:218538	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:228654	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:229037	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:237	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:2383	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:239759	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:239935	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:265	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:2702	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:27288	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:27314	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:2740	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:2753	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:28037	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:28111	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:28116	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:28117	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:28118	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:28132	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:28901	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:29001	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:290055	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:292632	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:29317	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:29330	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:29387	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:29465	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:29466	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:29521	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:29580	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:29832	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:301301	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:301302	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:315405	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:31953	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:31977	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:31979	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:32008	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:32067	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:32207	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:328814	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:33024	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:33043	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:333367	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:341027	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:34450	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:346096	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:35832	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:35833	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:360807	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:36834	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:36835	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:38447	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:384636	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:384638	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:39483	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:39484	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:39486	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:39488	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:39491	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:39496	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:39777	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:39778	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:39948	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:39965	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:40518	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:40519	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:40544	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:40545	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:41294	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:416916	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:42322	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:42895	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:437755	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:442	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:44249	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:443882	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:446660	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:447020	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:44737	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:44748	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:459786	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:460384	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:468	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:469	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:47678	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:4769	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:47882	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:482	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:4932	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:501571	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:501783	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:5021	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:5057	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:508458	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:508459	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:51514	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:5207	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:52228	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:5277	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:538	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:543	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:543311	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:5476	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:5478	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:5482	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:553372	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:561	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:56112	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:562	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:577309	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:580024	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:580596	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:581	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:61170	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:61171	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:623	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:625	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:62636	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:626929	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:626932	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:626937	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:644652	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:647	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:649756	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:68766	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:698776	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:712	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:713	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:729	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:74426	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:745368	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:76773	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:76892	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:77095	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:80864	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:815	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:818	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:820	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:823	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:824	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:827	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:83618	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:84024	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:84107	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:84111	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:846	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:851	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:853	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:856	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:86085	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:86331	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:871665	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:904	associated_with_increased_likelihood_of_MONDO:0005101
NCBITaxon:906	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:92860	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:94008	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:990719	associated_with_decreased_likelihood_of_MONDO:0005101
NCBITaxon:990721	associated_with_decreased_likelihood_of_MONDO:0005101
