Name,Rank,Num_Strains,Num_Strains_Butyrate_Producers,Disease_Relationship,Num_Species,Num_Species_Butyrate_Producers
NCBITaxon:1017280,genus,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,5,1
NCBITaxon:1060,genus,7,0,associated_with_decreased_likelihood_of_MONDO:0005101,17,0
NCBITaxon:106588,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:109326,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1099853,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1150298,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:116085,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1164882,genus,2,1,associated_with_increased_likelihood_of_MONDO:0005101,5,0
NCBITaxon:117187,species,1,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1185408,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,3,0
NCBITaxon:119852,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1224,phylum,9337,24,associated_with_increased_likelihood_of_MONDO:0005101,8584,162
NCBITaxon:1236,class,7300,11,associated_with_increased_likelihood_of_MONDO:0005101,3911,42
NCBITaxon:1239,phylum,10414,369,associated_with_decreased_likelihood_of_MONDO:0005101,4516,805
NCBITaxon:1262,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1264,species,4,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1265,species,7,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1266,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,2,0
NCBITaxon:1280,species,4628,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:12916,genus,4,0,associated_with_increased_likelihood_of_MONDO:0005101,13,0
NCBITaxon:1309,species,172,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:131079,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,5,0
NCBITaxon:1311,species,326,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1338,species,7,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1357,genus,30,0,associated_with_decreased_likelihood_of_MONDO:0005101,27,0
NCBITaxon:135858,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,3,0
NCBITaxon:13687,genus,26,0,associated_with_increased_likelihood_of_MONDO:0005101,209,2
NCBITaxon:139379,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005101,111,0
NCBITaxon:1398,species,8,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1402,species,14,2,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1409,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:142586,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1492,species,10,3,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1493,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:150022,genus,6,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1502,species,10,3,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1505657,genus,3,1,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1506577,genus,2,0,associated_with_increased_likelihood_of_MONDO:0005101,3,0
NCBITaxon:1508657,genus,8,1,associated_with_decreased_likelihood_of_MONDO:0005101,7,1
NCBITaxon:1532,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1537,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:154046,species,6,2,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:154288,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1544,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1547,species,1,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1573535,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,3,0
NCBITaxon:1573536,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005101,3,1
NCBITaxon:1613,species,12,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:162289,genus,13,5,associated_with_increased_likelihood_of_MONDO:0005101,30,4
NCBITaxon:1637,genus,242,19,associated_with_increased_likelihood_of_MONDO:0005101,29,17
NCBITaxon:1647988,family,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,7,0
NCBITaxon:165440,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005101,25,0
NCBITaxon:165697,genus,5,0,associated_with_increased_likelihood_of_MONDO:0005101,23,0
NCBITaxon:165808,family,0,0,associated_with_increased_likelihood_of_MONDO:0005101,11,0
NCBITaxon:166486,species,4,3,associated_with_decreased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:1680,species,7,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1686,species,4,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:171550,family,14,5,associated_with_decreased_likelihood_of_MONDO:0005101,49,11
NCBITaxon:172900,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,2,0
NCBITaxon:1735,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1737406,family,3,2,associated_with_increased_likelihood_of_MONDO:0005101,12,4
NCBITaxon:1747,species,109,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1763,genus,2942,1,associated_with_decreased_likelihood_of_MONDO:0005101,144,1
NCBITaxon:180162,genus,1,0,associated_with_increased_likelihood_of_MONDO:0005101,3,1
NCBITaxon:181675,species,2,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1849603,species,0,0,associated_with_increased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:1851509,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005101,24,0
NCBITaxon:1853231,family,6,2,associated_with_increased_likelihood_of_MONDO:0005101,15,5
NCBITaxon:186804,family,320,13,associated_with_increased_likelihood_of_MONDO:0005101,46,14
NCBITaxon:186826,order,3510,30,associated_with_increased_likelihood_of_MONDO:0005101,870,57
NCBITaxon:1869337,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:203691,phylum,283,13,associated_with_increased_likelihood_of_MONDO:0005101,252,11
NCBITaxon:204516,species,2,1,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:2049,family,56,0,associated_with_increased_likelihood_of_MONDO:0005101,125,1
NCBITaxon:208479,species,9,3,associated_with_increased_likelihood_of_MONDO:0005101,1,1
NCBITaxon:2152,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005101,1,0
NCBITaxon:2172,genus,33,0,associated_with_decreased_likelihood_of_MONDO:0005101,16,0
