Name,Rank,Num_Strains,Num_Strains_Butyrate_Producers,Disease_Relationship,Num_Species,Num_Species_Butyrate_Producers
NCBITaxon:100176,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:100884,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:102106,genus,5,0,associated_with_decreased_likelihood_of_MONDO:0005180,13,2
NCBITaxon:1130798,strain,1,0,associated_with_increased_likelihood_of_MONDO:0005180,0,0
NCBITaxon:113107,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1150298,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:117563,genus,6,0,associated_with_decreased_likelihood_of_MONDO:0005180,5,1
NCBITaxon:118747,genus,1,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:119852,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1203556,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1224,phylum,9337,24,associated_with_increased_likelihood_of_MONDO:0005180,8584,162
NCBITaxon:1232426,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:123375,genus,4,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1262792,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:1262889,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1263044,strain,1,0,associated_with_increased_likelihood_of_MONDO:0005180,0,0
NCBITaxon:1268,family,48,0,associated_with_decreased_likelihood_of_MONDO:0005180,292,1
NCBITaxon:128827,family,21,1,associated_with_increased_likelihood_of_MONDO:0005180,60,8
NCBITaxon:1309,species,172,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:131079,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,5,0
NCBITaxon:13159,genus,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,4,0
NCBITaxon:1322,species,1,1,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1343,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1352,species,360,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:135575,genus,4,0,associated_with_decreased_likelihood_of_MONDO:0005180,12,0
NCBITaxon:1357,genus,30,0,associated_with_increased_likelihood_of_MONDO:0005180,27,0
NCBITaxon:136099,genus,4,0,associated_with_decreased_likelihood_of_MONDO:0005180,7,0
NCBITaxon:13687,genus,26,0,associated_with_increased_likelihood_of_MONDO:0005180,209,2
NCBITaxon:1378,genus,8,2,associated_with_decreased_likelihood_of_MONDO:0005180,8,0
NCBITaxon:1404,species,8,5,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:140625,genus,3,1,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:1406512,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1432051,genus,0,0,associated_with_increased_likelihood_of_MONDO:0005180,12,9
NCBITaxon:1432052,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:1463165,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1470350,species,1,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1472761,species,1,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1485,genus,166,37,associated_with_increased_likelihood_of_MONDO:0005180,209,61
NCBITaxon:150055,species,2,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1506,species,0,0,associated_with_decreased_likelihood_of_MONDO:0005180,1,1
NCBITaxon:1506577,genus,2,0,associated_with_decreased_likelihood_of_MONDO:0005180,3,0
NCBITaxon:1520815,species,0,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
NCBITaxon:1522,species,4,0,associated_with_increased_likelihood_of_MONDO:0005180,1,0
