,Genus,Genus_ID,Ranked_Mapping_family,fractions_produces_but,total_fam_sizes
0,Lachnoanaerobaculum,NCBITaxon:1164882,Lachnospiraceae,0.08333333333333333,12
1,Lachnobacterium,NCBITaxon:140625,Lachnospiraceae,1.0,2
2,Eisenbergiella,NCBITaxon:1432051,Lachnospiraceae,1.0,9
3,Dorea,NCBITaxon:189330,Lachnospiraceae,0.16666666666666666,6
4,Moryella,NCBITaxon:437755,Lachnospiraceae,0.3333333333333333,3
5,Roseburia,NCBITaxon:841,Lachnospiraceae,0.6363636363636364,11
6,Pseudoflavonifractor,NCBITaxon:1017280,Oscillospiraceae,0.5,4
7,Ruminiclostridium,NCBITaxon:1508657,Oscillospiraceae,0.16666666666666666,12
8,Faecalibacterium,NCBITaxon:216851,Oscillospiraceae,0.5833333333333334,12
9,Anaerotruncus,NCBITaxon:244127,Oscillospiraceae,0.25,4
10,Subdoligranulum,NCBITaxon:292632,Oscillospiraceae,0.16666666666666666,6
11,Sporobacter,NCBITaxon:44748,Oscillospiraceae,0.5,2
12,Oscillibacter,NCBITaxon:459786,Oscillospiraceae,0.5,4
13,Hallella,NCBITaxon:52228,Prevotellaceae,0.25,8
