Value	Rank	Genus	Family	Phylum	Location	Impt_Family
NCBITaxon:2067991	species	not found	NCBITaxon:191412	NCBITaxon:1090	other	other
NCBITaxon:2268192	species	not found	not found	NCBITaxon:1090	other	other
NCBITaxon:1798430	species	not found	not found	NCBITaxon:1134404	other	other
NCBITaxon:1798452	species	not found	not found	NCBITaxon:1134404	other	other
NCBITaxon:1974045	species	not found	not found	NCBITaxon:1134404	other	other
NCBITaxon:2013808	species	not found	not found	NCBITaxon:1134404	other	other
NCBITaxon:2026749	species	not found	not found	NCBITaxon:1134404	other	other
NCBITaxon:2053306	species	not found	not found	NCBITaxon:1134404	other	other
NCBITaxon:1032623	species	NCBITaxon:1249016	NCBITaxon:712	NCBITaxon:1224	human	other
NCBITaxon:1037362	species	NCBITaxon:1434029	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1062	species	NCBITaxon:1060	not found	NCBITaxon:1224	human	other
NCBITaxon:1109412	species	NCBITaxon:71655	NCBITaxon:1903410	NCBITaxon:1224	human	other
NCBITaxon:1117707	species	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:1121117	strain	NCBITaxon:28219	NCBITaxon:80864	NCBITaxon:1224	human	other
NCBITaxon:1123237	strain	NCBITaxon:263377	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1123498	strain	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:113574	species	NCBITaxon:81	NCBITaxon:45401	NCBITaxon:1224	human	other
NCBITaxon:115553	species	NCBITaxon:3137766	NCBITaxon:28256	NCBITaxon:1224	human	other
NCBITaxon:1158459	species	NCBITaxon:1330547	NCBITaxon:543	NCBITaxon:1224	human	other
NCBITaxon:1173585	species	NCBITaxon:97050	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1198232	strain	NCBITaxon:34067	NCBITaxon:135616	NCBITaxon:1224	human	other
NCBITaxon:1200281	strain	NCBITaxon:2854184	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1200284	strain	NCBITaxon:2854184	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1216006	strain	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:121719	species	NCBITaxon:227873	NCBITaxon:2821832	NCBITaxon:1224	human	other
NCBITaxon:1229727	species	NCBITaxon:263377	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1232220	species	NCBITaxon:2870716	NCBITaxon:433	NCBITaxon:1224	human	other
NCBITaxon:1243014	species	NCBITaxon:662	NCBITaxon:641	NCBITaxon:1224	human	other
NCBITaxon:1247867	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1250539	species	NCBITaxon:263377	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1284675	species	NCBITaxon:34067	NCBITaxon:135616	NCBITaxon:1224	human	other
NCBITaxon:1287735	species	NCBITaxon:222	NCBITaxon:506	NCBITaxon:1224	human	other
NCBITaxon:1287737	species	NCBITaxon:222	NCBITaxon:506	NCBITaxon:1224	human	other
NCBITaxon:1294297	species	NCBITaxon:335927	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1312363	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1343159	species	NCBITaxon:2211638	NCBITaxon:31989	NCBITaxon:1224	human	other
NCBITaxon:1348468	species	NCBITaxon:28209	NCBITaxon:2036754	NCBITaxon:1224	human	other
NCBITaxon:1353889	species	NCBITaxon:222	NCBITaxon:506	NCBITaxon:1224	human	other
NCBITaxon:1353890	species	NCBITaxon:222	NCBITaxon:506	NCBITaxon:1224	human	other
NCBITaxon:1356575	species	NCBITaxon:74030	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1389006	species	NCBITaxon:573139	NCBITaxon:2854170	NCBITaxon:1224	human	other
NCBITaxon:1389922	species	NCBITaxon:222	NCBITaxon:506	NCBITaxon:1224	human	other
