Value	Rank	Genus	Family	Phylum	Location	Impt_Family
NCBITaxon:338969	strain	NCBITaxon:28065	NCBITaxon:80864	NCBITaxon:1224	human	other
NCBITaxon:1009370	strain	NCBITaxon:2373	NCBITaxon:1843490	NCBITaxon:1239	human	other
NCBITaxon:1042156	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:138119	strain	NCBITaxon:36853	NCBITaxon:2937909	NCBITaxon:1239	human	other
NCBITaxon:1493	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:187327	species	NCBITaxon:904	NCBITaxon:909930	NCBITaxon:1239	human	other
NCBITaxon:195102	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:195103	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:208596	species	NCBITaxon:2747	NCBITaxon:186828	NCBITaxon:1239	human	other
NCBITaxon:212717	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:217159	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:272562	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:272563	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:272564	strain	NCBITaxon:36853	NCBITaxon:2937909	NCBITaxon:1239	human	other
NCBITaxon:273068	strain	NCBITaxon:249529	NCBITaxon:186814	NCBITaxon:1239	human	other
NCBITaxon:289380	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:290402	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:292459	strain	NCBITaxon:2733	NCBITaxon:543349	NCBITaxon:1239	human	other
NCBITaxon:293826	strain	NCBITaxon:114627	NCBITaxon:3118656	NCBITaxon:1239	human	other
NCBITaxon:333990	species	NCBITaxon:2747	NCBITaxon:186828	NCBITaxon:1239	human	other
NCBITaxon:335541	strain	NCBITaxon:862	NCBITaxon:68298	NCBITaxon:1239	human	other
NCBITaxon:349161	strain	NCBITaxon:2916693	NCBITaxon:186807	NCBITaxon:1239	human	other
NCBITaxon:350688	strain	NCBITaxon:114627	NCBITaxon:3118656	NCBITaxon:1239	human	other
NCBITaxon:391606	strain	NCBITaxon:249529	NCBITaxon:186814	NCBITaxon:1239	human	other
NCBITaxon:401526	strain	NCBITaxon:261684	NCBITaxon:1843490	NCBITaxon:1239	human	other
NCBITaxon:411463	strain	NCBITaxon:1730	NCBITaxon:186806	NCBITaxon:1239	human	impt_fam
NCBITaxon:411469	strain	NCBITaxon:2569097	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
