Value	Rank	Genus	Family	Phylum	Location	Impt_Family
NCBITaxon:1000568	species	NCBITaxon:906	NCBITaxon:31977	NCBITaxon:1239	human	other
NCBITaxon:105841	species	NCBITaxon:207244	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:246194	strain	NCBITaxon:129957	NCBITaxon:186814	NCBITaxon:1239	human	other
NCBITaxon:367459	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:386415	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:411474	strain	NCBITaxon:33042	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:411484	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:428127	strain	NCBITaxon:2749846	NCBITaxon:128827	NCBITaxon:1239	human	other
NCBITaxon:431943	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:441770	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:445334	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:445335	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:445336	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:445337	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:447214	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:451754	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:451756	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:451757	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:455631	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:471871	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:479831	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:479832	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:479833	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:479834	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:499174	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:499176	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:518637	strain	NCBITaxon:1573535	NCBITaxon:128827	NCBITaxon:1239	human	other
NCBITaxon:525258	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:536233	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:552396	species	not found	NCBITaxon:128827	NCBITaxon:1239	human	other
NCBITaxon:575593	strain	not found	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:580327	strain	NCBITaxon:28895	NCBITaxon:186814	NCBITaxon:1239	human	other
NCBITaxon:583346	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:591001	strain	NCBITaxon:904	NCBITaxon:909930	NCBITaxon:1239	human	other
NCBITaxon:592027	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:592031	strain	not found	NCBITaxon:543314	NCBITaxon:1239	human	other
NCBITaxon:657317	strain	NCBITaxon:1766253	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:657318	strain	NCBITaxon:1766253	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:657324	strain	NCBITaxon:830	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:658089	species	not found	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:699032	strain	NCBITaxon:1870884	NCBITaxon:186804	NCBITaxon:1239	human	other
NCBITaxon:717608	strain	NCBITaxon:2719231	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:742741	strain	NCBITaxon:1506553	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:758678	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:863638	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:864565	strain	NCBITaxon:1913599	NCBITaxon:3118655	NCBITaxon:1239	human	other
NCBITaxon:887325	strain	NCBITaxon:1164882	NCBITaxon:186803	NCBITaxon:1239	human	impt_fam
NCBITaxon:903814	strain	NCBITaxon:1730	NCBITaxon:186806	NCBITaxon:1239	human	impt_fam
NCBITaxon:908340	species	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:929506	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:941968	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:991791	strain	NCBITaxon:1485	NCBITaxon:31979	NCBITaxon:1239	human	other
NCBITaxon:997346	species	NCBITaxon:500614	NCBITaxon:186824	NCBITaxon:1239	human	other
NCBITaxon:653733	strain	NCBITaxon:393029	NCBITaxon:189770	NCBITaxon:200938	other	other
NCBITaxon:335543	strain	NCBITaxon:29526	NCBITaxon:213465	NCBITaxon:200940	other	other
NCBITaxon:351605	strain	NCBITaxon:2910589	NCBITaxon:213422	NCBITaxon:200940	other	other
NCBITaxon:443144	species	NCBITaxon:28231	NCBITaxon:213422	NCBITaxon:200940	other	other
NCBITaxon:577650	strain	NCBITaxon:893	NCBITaxon:213121	NCBITaxon:200940	other	other
NCBITaxon:263358	strain	NCBITaxon:1873	NCBITaxon:28056	NCBITaxon:201174	human	other
NCBITaxon:313589	species	NCBITaxon:53457	NCBITaxon:85021	NCBITaxon:201174	human	other
NCBITaxon:369723	strain	NCBITaxon:168694	NCBITaxon:28056	NCBITaxon:201174	human	other
NCBITaxon:391037	strain	NCBITaxon:168694	NCBITaxon:28056	NCBITaxon:201174	human	other
NCBITaxon:408672	species	not found	NCBITaxon:85015	NCBITaxon:201174	human	other
NCBITaxon:446470	strain	NCBITaxon:283810	NCBITaxon:85034	NCBITaxon:201174	human	other
NCBITaxon:471852	strain	NCBITaxon:2019	NCBITaxon:2012	NCBITaxon:201174	human	other
NCBITaxon:553198	strain	NCBITaxon:1743	NCBITaxon:31957	NCBITaxon:201174	human	other
NCBITaxon:644283	strain	NCBITaxon:1873	NCBITaxon:28056	NCBITaxon:201174	human	other
NCBITaxon:648999	species	NCBITaxon:1873	NCBITaxon:28056	NCBITaxon:201174	human	other
NCBITaxon:710696	strain	NCBITaxon:53357	NCBITaxon:85021	NCBITaxon:201174	human	other
NCBITaxon:754027	strain	NCBITaxon:157	NCBITaxon:2845253	NCBITaxon:203691	other	other
NCBITaxon:246197	strain	NCBITaxon:32	NCBITaxon:31	NCBITaxon:2818505	other	other
NCBITaxon:448385	strain	NCBITaxon:39643	NCBITaxon:49	NCBITaxon:2818505	other	other
NCBITaxon:483219	strain	NCBITaxon:32	NCBITaxon:31	NCBITaxon:2818505	other	other
NCBITaxon:502025	strain	NCBITaxon:162027	NCBITaxon:224464	NCBITaxon:2818505	other	other
NCBITaxon:457403	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:457405	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469599	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469601	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469602	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469603	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469604	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469606	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469615	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469616	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469617	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:469621	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:556263	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:556264	strain	NCBITaxon:848	NCBITaxon:203492	NCBITaxon:32066	human	other
NCBITaxon:456827	species	NCBITaxon:456826	NCBITaxon:3039865	NCBITaxon:456828	other	other
NCBITaxon:1030843	strain	NCBITaxon:836	NCBITaxon:171551	NCBITaxon:976	human	other
NCBITaxon:242619	strain	NCBITaxon:836	NCBITaxon:171551	NCBITaxon:976	human	other
NCBITaxon:431947	strain	NCBITaxon:836	NCBITaxon:171551	NCBITaxon:976	human	other
NCBITaxon:553175	strain	NCBITaxon:836	NCBITaxon:171551	NCBITaxon:976	human	other
NCBITaxon:596327	strain	NCBITaxon:836	NCBITaxon:171551	NCBITaxon:976	human	other
NCBITaxon:910312	strain	NCBITaxon:836	NCBITaxon:171551	NCBITaxon:976	human	other
NCBITaxon:451755 		not found	not found	not found	other	other
not found		not found	not found	not found	other	other
