Value,Gold_Standard,Organismal,Functional
NCBITaxo:543349,1,0,0
NCBITaxon:1127830,0,0,1
NCBITaxon:128827,1,0,1
NCBITaxon:12908,1,0,0
NCBITaxon:1300,0,0,1
NCBITaxon:135616,0,0,1
NCBITaxon:135617,0,0,1
NCBITaxon:135620,0,0,1
NCBITaxon:135621,0,0,1
NCBITaxon:137,0,0,1
NCBITaxon:143786,1,0,1
NCBITaxon:1471398,0,0,1
NCBITaxon:1491775,0,0,1
NCBITaxon:1524215,0,0,1
NCBITaxon:1570339,1,0,1
NCBITaxon:1573805,0,0,1
NCBITaxon:1643824,0,0,1
NCBITaxon:1643826,0,0,1
NCBITaxon:1643948,0,0,1
NCBITaxon:1643949,0,0,1
NCBITaxon:1643950,0,0,1
NCBITaxon:1676650,0,0,1
NCBITaxon:171550,1,0,1
NCBITaxon:171551,1,0,1
NCBITaxon:171552,0,0,1
NCBITaxon:1737406,0,0,1
NCBITaxon:1762,0,0,1
NCBITaxon:183710,0,0,1
NCBITaxon:1840213,0,0,1
NCBITaxon:1843490,0,0,1
NCBITaxon:1843491,0,0,1
NCBITaxon:1853231,0,1,1
NCBITaxon:1853234,0,0,1
NCBITaxon:186803,1,1,1
NCBITaxon:186804,1,0,1
NCBITaxon:186806,1,1,1
NCBITaxon:186807,1,0,1
NCBITaxon:186814,1,0,1
NCBITaxon:186817,0,0,1
NCBITaxon:186818,0,0,1
NCBITaxon:186820,0,0,1
NCBITaxon:186821,0,0,1
NCBITaxon:186822,0,0,1
NCBITaxon:186823,0,0,1
NCBITaxon:186824,1,0,1
NCBITaxon:186827,0,0,1
NCBITaxon:186828,1,0,1
NCBITaxon:188709,1,0,1
NCBITaxon:188786,0,0,1
NCBITaxon:1903335,0,0,1
NCBITaxon:1903411,0,0,1
NCBITaxon:1903416,0,0,1
NCBITaxon:191394,0,0,1
NCBITaxon:191412,0,0,1
NCBITaxon:194924,0,0,1
NCBITaxon:1962854,0,0,1
NCBITaxon:1970190,0,0,1
