	ncbitaxon	rhea	predicate	chebi	uniprotkb
0	NCBITaxon:698762	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1W1V5P0
4	NCBITaxon:441772	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A7GJ19
5	NCBITaxon:416591	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A8F835
6	NCBITaxon:515619	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:C4Z8H6
7	NCBITaxon:511680	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:D4RWA8
8	NCBITaxon:879306	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:F0H0H6
9	NCBITaxon:1064535	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:G0VM76
10	NCBITaxon:857293	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:G0V3I3
11	NCBITaxon:1898203	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3B8U0C5
12	NCBITaxon:2030927	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D1BPQ5
13	NCBITaxon:1898207	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D5R6A3
14	NCBITaxon:1945593	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D5TFI4
15	NCBITaxon:1898203	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D5WIM8
16	NCBITaxon:2485784	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3S5HK71
17	NCBITaxon:2292888	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A416CMU0
18	NCBITaxon:1896969	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1Q6EH48
19	NCBITaxon:28117	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1Q6F3Z7
21	NCBITaxon:1955248	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A5D0S2J1
23	NCBITaxon:2049044	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A6A4V7C2
24	NCBITaxon:1263013	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:R6IDZ2
25	NCBITaxon:1262761	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:R6QSR2
26	NCBITaxon:1263079	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:R6TJ49
27	NCBITaxon:1161412	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:X6Q2G5
29	NCBITaxon:407036	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1G8VG91
30	NCBITaxon:709510	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1G8UTU9
31	NCBITaxon:1520816	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1H3H2H0
32	NCBITaxon:1528	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1H3I8V0
33	NCBITaxon:246191	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A1G9BRR2
34	NCBITaxon:2026760	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7V0WWK9
35	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8MLP9
36	NCBITaxon:1898204	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8PTJ2
37	NCBITaxon:1898204	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8QJM4
38	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8QUZ4
39	NCBITaxon:2377	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A517DV12
40	NCBITaxon:2377	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A517DWM5
41	NCBITaxon:33035	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7G5MNH0
42	NCBITaxon:2779445	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7M1Q545
43	NCBITaxon:2052148	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7V0T484
45	NCBITaxon:1321778	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:U2EQK3
46	NCBITaxon:1121100	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:W4PHU0
47	NCBITaxon:2053689	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D6DC14
48	NCBITaxon:499177	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:E3PVP7
49	NCBITaxon:499177	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:E3PWR8
50	NCBITaxon:768706	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:G7W6B5
53	NCBITaxon:997897	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:N9ZMW2
54	NCBITaxon:195102	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:P0C2D8
56	NCBITaxon:83332	RHEA:40475	biolink:has_participant	CHEBI:17968	UniprotKB:P9WK87
58	NCBITaxon:160488	RHEA:79347	biolink:has_participant	CHEBI:17968	UniprotKB:Q88JH5
59	NCBITaxon:1262696	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:R5B883
60	NCBITaxon:1263030	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:R5CTN2
62	NCBITaxon:1872491	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3D0MTB1
63	NCBITaxon:360807	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3R6D861
64	NCBITaxon:2293143	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A3R6USE2
65	NCBITaxon:1869227	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A961AC80
66	NCBITaxon:2030927	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A971RA49
67	NCBITaxon:1879010	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A971RQ15
68	NCBITaxon:2026792	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A971WMI0
69	NCBITaxon:170573	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2N6QH45
70	NCBITaxon:28127	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2N6QQQ3
71	NCBITaxon:1552123	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A841WS32
72	NCBITaxon:1497681	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A841YRW1
73	NCBITaxon:2699745	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A847LYQ1
74	NCBITaxon:2030927	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A847Q7E1
75	NCBITaxon:2049431	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A847NI90
76	NCBITaxon:2818044	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A8J7W1B6
77	NCBITaxon:1737624	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0Q1EYF7
78	NCBITaxon:1635262	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A101G5X9
79	NCBITaxon:1641393	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A101HA45
80	NCBITaxon:2739	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A429ZKX5
81	NCBITaxon:2739	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A429ZVK2
82	NCBITaxon:1977868	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A429ZGH0
83	NCBITaxon:764291	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:G5KDG6
84	NCBITaxon:997884	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:I9GBF6
85	NCBITaxon:1161918	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:K0JMF3
86	NCBITaxon:272563	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:Q182B0
87	NCBITaxon:1158607	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:R2Q9G0
88	NCBITaxon:1703337	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A2U0U090
89	NCBITaxon:2052148	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A348MKE7
90	NCBITaxon:863	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A354YX90
91	NCBITaxon:1879010	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A354ZJ56
92	NCBITaxon:2049046	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A355CA62
93	NCBITaxon:2026749	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A952TTY9
94	NCBITaxon:2838590	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A9D1RXA3
95	NCBITaxon:2030808	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7C5HG12
96	NCBITaxon:1969738	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7G2MEK0
97	NCBITaxon:1339349	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A078S1U0
98	NCBITaxon:1617025	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0F2J817
99	NCBITaxon:1629719	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A0F2Q1W3
100	NCBITaxon:2293009	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A416G5B1
101	NCBITaxon:2292348	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A416HK15
102	NCBITaxon:2293037	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A416II24
103	NCBITaxon:2501299	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A4Q1JIC5
104	NCBITaxon:2562681	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A4S1CCY5
105	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A971ECA1
106	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A971EEK4
107	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A971EGL6
108	NCBITaxon:2202144	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A971K5X5
109	NCBITaxon:2053586	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A971KQG1
110	NCBITaxon:981385	RHEA:13585	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7R6SZD0
113	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8U5G4
114	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8U6W2
115	NCBITaxon:2093811	RHEA:30071	biolink:has_participant	CHEBI:17968	UniprotKB:A0A7X8U8U7
