Step	Substep	Category	File_Current	File_NERSC	Exists_Current	Exists_NERSC	Size_Current	Size_NERSC	Rows_Current	Rows_NERSC	Key_Metric_Current	Key_Metric_NERSC	Difference	Status	Notes
0	Input Files (KG & Taxonomy)	input_files	data/Input_Files/merged-kg_edges_noEC.tsv	src/Input_Files/merged-kg_edges_noEC.tsv	No	No								missing_in_both	Referenced in code but missing in both repos
0	Input Files (KG & Taxonomy)	input_files	data/Input_Files/ncbitaxon_nodes.tsv	src/Input_Files/ncbitaxon_nodes.tsv	Yes	Yes	136774724.0	136774724.0	851838.0	851838.0			+0 bytes	likely_identical	Likely identical (same size)
0	Input Files (KG & Taxonomy)	input_files	data/Input_Files/ncbitaxon_rank.tsv	src/Input_Files/ncbitaxon_rank.tsv	No	No								missing_in_both	Referenced in code but missing in both repos
1	Gold Standard Literature	gold_standard	data/Input_Files/Vital_etal_butyrate+producing_microbes.csv	src/Input_Files/Vital_etal_butyrate+producing_microbes.csv	No	No								missing_in_both	Referenced in code but missing in both repos
1	Gold Standard Literature	gold_standard	data/Intermediate_Files_Competencies/butyrate_produces/Gold_Standard_Species_Overlap_butyrate_produces.csv	src/Intermediate_Files_Competencies/butyrate_produces/Gold_Standard_Species_Overlap_butyrate_produces.csv	Yes	Yes	267641.0	382246.0	3765.0	3764.0	3764 taxa	3763 taxa	-114605 bytes	differs	Structure differs: UniprotKB IDs vs protein names
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_1.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_1.tsv	Yes	Yes	9530.0	9530.0	550.0	550.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_2.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_2.tsv	Yes	Yes	6814.0	6814.0	391.0	391.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_3.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_3.tsv	Yes	Yes	2536.0	2536.0	148.0	148.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_4.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_4.tsv	Yes	Yes	180.0	180.0	11.0	11.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_5.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_5.tsv	Yes	Yes	144.0	144.0	9.0	9.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_all.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_EC_pathway_all.tsv	Yes	Yes	44207.0	44207.0	1105.0	1105.0	1104 annotations	1104 annotations	+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_RHEA.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_genomic_traits_RHEA.tsv	Yes	Yes	584250.0	579752.0	6504.0	6451.0	6503 annotations	6450 annotations	+4498 bytes	differs	Row count differs (+53 rows)
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_genomic_rhea_comparison_species.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_genomic_rhea_comparison_species.tsv	Yes	Yes	457.0	457.0	10.0	10.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_genomic_rhea_comparison_strains.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_genomic_rhea_comparison_strains.tsv	Yes	Yes	502.0	502.0	17.0	17.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_traits.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_traits.tsv	Yes	Yes	721.0	721.0	16.0	16.0	15 taxa	15 taxa	+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_traits_strains.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_traits_strains.tsv	Yes	Yes	1163.0	1163.0	16.0	16.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_traits_strains_proteomes.tsv	src/Intermediate_Files_Competencies/butyrate_produces/NCBI_organismal_traits_strains_proteomes.tsv	Yes	Yes	452.0	452.0	10.0	10.0			+0 bytes	differs	Content differs
2	Butyrate Competency Analysis	butyrate_competency	data/Intermediate_Files_Competencies/butyrate_produces/reaction_direction_dict.json	src/Intermediate_Files_Competencies/butyrate_produces/reaction_direction_dict.json	Yes	Yes	508.0	280.0	20.0	12.0			+228 bytes	differs	Content differs
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/All_Disease_Comparison_Ranks.png	src/Intermediate_Files/All_Disease_Comparison_Ranks.png	Yes	No	89995.0							added_in_current	NEW in current repo (not in NERSC)
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/IBD_Classification_butyrate_producers_summary.csv	src/Intermediate_Files/IBD_Classification_butyrate_producers_summary.csv	Yes	No	208.0		2.0		Chi2=671.68, p=4.30e-148	File not in NERSC		added_in_current	NEW in current repo (not in NERSC); [CRITICAL for Figure 6]
3	Disease Classification (Figure 6)	disease_outputs	data/Intermediate_Files/PD_Classification_butyrate_producers_summary.csv	src/Intermediate_Files/PD_Classification_butyrate_producers_summary.csv	Yes	No	210.0		2.0		Chi2=1063.60, p=2.70e-233	File not in NERSC		added_in_current	NEW in current repo (not in NERSC); [CRITICAL for Figure 6]
