category	file_current	file_nersc	exists_current	exists_nersc	size_current	size_nersc	lines_current	lines_nersc	md5_current	md5_nersc	status
scripts	src/Classification_gold_standard_comparison.py	src/Classification_gold_standard_comparison.py	True	True	14092.0	14013.0	248.0	248.0	8d923d409366613d07b55df8c64f0ea8	6017ff417a0c6696bc43ede41009a758	differs
scripts	src/Gold_standard_Competency_analysis.py	src/Gold_standard_Competency_analysis.py	True	True	21070.0	21035.0	373.0	373.0	db73dc4388f8f3542c66c107d47646d0	8dd3afb0ad0bb708d94dfe51d44de9a8	differs
scripts	src/Process_competency_questions.py	src/Process_competency_questions.py	True	True	4950.0	4930.0	95.0	95.0	613fcd15a48d9fba8bbffc31192bbb00	26c17d1fb3e03126881a7d7b3c67731c	differs
scripts	src/Competencies.py	src/Competencies.py	True	True	96371.0	95312.0	2191.0	2172.0	d9a49ad5d32982c874d1b041e8aca271	90a40ecffb3b52485bb8482aa46ea910	differs
scripts	src/constants.py	src/constants.py	True	True	4210.0	4153.0	100.0	99.0	20f654da9bd5f04e35972f22214ccc34	a24b7281d7886a1e1cc644e58a7630a4	differs
scripts	src/duckdb_utils.py	src/duckdb_utils.py	True	True	7204.0	7102.0	272.0	271.0	0895bef2bba0ae12c6267e67c8d7b6d3	ad58820fb9a9f506a47344c754b7a71f	differs
scripts	src/ncbi_phylogeny_search.py	src/ncbi_phylogeny_search.py	True	True	33429.0	33388.0	774.0	774.0	ded1cf25004b3c9599eb61bbd9abb38f	13c51ff9a6e66c8720802a721e1bbd88	differs
scripts	src/classification.py	src/classification.py	True	True	6438.0	6412.0	131.0	131.0	834ef7c786ef3055850e8898c9039eee	279616edff04e8d96c1633b2dd0a6304	differs
scripts	src/classification_utils.py	src/classification_utils.py	True	True	44632.0	44617.0	913.0	913.0	bfe5905cbf8a65b213fcde3bb09c6880	00fe7e751b3fcd350a429b0113d4ab7a	differs
scripts	src/classification_permutations.py	src/classification_permutations.py	True	True	9921.0	9840.0	189.0	189.0	f40a4af0f3a8ee26ae8c0a8601e948f3	3b7b74d236db76c3302ddf893c291029	differs
