Family	Name	Family_ID	Name_ID
Lachnospiraceae	Anaerostipes caccae DSM 14662	NCBITaxon:186803	NCBITaxon:411490
Lachnospiraceae	Anaerostipes sp. 3_2_56FAA	NCBITaxon:186803	NCBITaxon:105841
Lachnospiraceae	Butyrivibrio crossotus DSM 2876	NCBITaxon:186803	NCBITaxon:511680
Lachnospiraceae	Butyrivibrio fibrisolvens 16/4	NCBITaxon:186803	NCBITaxon:657324
Lachnospiraceae	Butyrivibrio proteoclasticus B316	NCBITaxon:186803	NCBITaxon:515622
Lachnospiraceae	Clostridiales sp. SS3/4	NCBITaxon:186803	not found
Lachnospiraceae	Clostridiales sp. SSC/2	NCBITaxon:186803	not found
Lachnospiraceae	Coprococcus catus GD/7	NCBITaxon:186803	NCBITaxon:717962
Lachnospiraceae	Coprococcus comes ATCC 27758	NCBITaxon:186803	NCBITaxon:470146
Lachnospiraceae	Coprococcus eutactus ATCC 27759	NCBITaxon:186803	NCBITaxon:411474
Lachnospiraceae	Eubacterium cellulolocolvens 6	NCBITaxon:186803	NCBITaxon:633697
Lachnospiraceae	Eubacterium hallii DSM 3353	NCBITaxon:186803	NCBITaxon:411469
Lachnospiraceae	Eubacterium rectale ATCC 33656	NCBITaxon:186803	NCBITaxon:515619
Lachnospiraceae	Eubacterium rectale DSM 17629	NCBITaxon:186803	NCBITaxon:657318
Lachnospiraceae	Eubacterium rectale M104/1	NCBITaxon:186803	NCBITaxon:657317
Lachnospiraceae	Eubacterium ventriosum ATCC 27560	NCBITaxon:186803	NCBITaxon:411463
Lachnospiraceae	Lachnospiraceae bacterium 3_1_57FAA_CT1	NCBITaxon:186803	NCBITaxon:658086
Lachnospiraceae	Lachnospiraceae bacterium sp. 5_1_63FAA	NCBITaxon:186803	NCBITaxon:658089
Lachnospiraceae	Lachnospiraceae sp. F0167	NCBITaxon:186803	NCBITaxon:575593
Lachnospiraceae	Roseburia intestinalis L1-82	NCBITaxon:186803	NCBITaxon:536231
Lachnospiraceae	Roseburia intestinalis M50/1	NCBITaxon:186803	NCBITaxon:657315
